,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,url,state,zip_code,scraped
49,49,49,49,30341,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66047&page=1,Kansas,66047,FALSE
50,50,50,50,30342,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66048&page=1,Kansas,66048,FALSE
51,51,51,51,30343,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66049&page=1,Kansas,66049,FALSE
52,52,52,52,30344,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66050&page=1,Kansas,66050,FALSE
53,53,53,53,30345,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66050&page=2,Kansas,66050,FALSE
54,54,54,54,30346,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66052&page=1,Kansas,66052,FALSE
55,55,55,55,30347,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66052&page=2,Kansas,66052,FALSE
56,56,56,56,30348,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66052&page=3,Kansas,66052,FALSE
57,57,57,57,30349,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66052&page=4,Kansas,66052,FALSE
58,58,58,58,30350,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66053&page=1,Kansas,66053,FALSE
59,59,59,59,30351,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66054&page=1,Kansas,66054,FALSE
60,60,60,60,30352,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66056&page=1,Kansas,66056,FALSE
61,61,61,61,30353,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66058&page=1,Kansas,66058,FALSE
62,62,62,62,30354,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66060&page=1,Kansas,66060,FALSE
63,63,63,63,30355,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66061&page=1,Kansas,66061,FALSE
64,64,64,64,30356,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66061&page=2,Kansas,66061,FALSE
65,65,65,65,30357,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66061&page=3,Kansas,66061,FALSE
66,66,66,66,30358,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66061&page=4,Kansas,66061,FALSE
67,67,67,67,30359,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66061&page=5,Kansas,66061,FALSE
68,68,68,68,30360,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66062&page=1,Kansas,66062,FALSE
69,69,69,69,30361,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66062&page=2,Kansas,66062,FALSE
70,70,70,70,30362,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66062&page=3,Kansas,66062,FALSE
71,71,71,71,30363,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66062&page=4,Kansas,66062,FALSE
72,72,72,72,30364,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66062&page=5,Kansas,66062,FALSE
73,73,73,73,30365,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66064&page=1,Kansas,66064,FALSE
74,74,74,74,30366,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66066&page=1,Kansas,66066,FALSE
75,75,75,75,30367,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66067&page=1,Kansas,66067,FALSE
76,76,76,76,30368,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66070&page=1,Kansas,66070,FALSE
77,77,77,77,30369,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66071&page=1,Kansas,66071,FALSE
78,78,78,78,30370,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66072&page=1,Kansas,66072,FALSE
79,79,79,79,30371,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66073&page=1,Kansas,66073,FALSE
80,80,80,80,30372,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66073&page=2,Kansas,66073,FALSE
81,81,81,81,30373,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66075&page=1,Kansas,66075,FALSE
82,82,82,82,30374,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66076&page=1,Kansas,66076,FALSE
83,83,83,83,30375,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66078&page=1,Kansas,66078,FALSE
84,84,84,84,30376,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66079&page=1,Kansas,66079,FALSE
85,85,85,85,30377,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66080&page=1,Kansas,66080,FALSE
86,86,86,86,30378,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66083&page=1,Kansas,66083,FALSE
87,87,87,87,30379,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66083&page=2,Kansas,66083,FALSE
88,88,88,88,30380,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66083&page=3,Kansas,66083,FALSE
89,89,89,89,30381,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66085&page=1,Kansas,66085,FALSE
90,90,90,90,30382,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66085&page=2,Kansas,66085,FALSE
91,91,91,91,30383,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66085&page=3,Kansas,66085,FALSE
92,92,92,92,30384,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66085&page=4,Kansas,66085,FALSE
93,93,93,93,30385,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66085&page=5,Kansas,66085,FALSE
94,94,94,94,30386,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66086&page=1,Kansas,66086,FALSE
95,95,95,95,30387,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66086&page=2,Kansas,66086,FALSE
96,96,96,96,30388,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66087&page=1,Kansas,66087,FALSE
97,97,97,97,30389,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66088&page=1,Kansas,66088,FALSE
98,98,98,98,30390,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66090&page=1,Kansas,66090,FALSE
99,99,99,99,30391,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66091&page=1,Kansas,66091,FALSE
100,100,100,100,30392,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66092&page=1,Kansas,66092,FALSE
101,101,101,101,30393,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66093&page=1,Kansas,66093,FALSE
102,102,102,102,30394,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66094&page=1,Kansas,66094,FALSE
103,103,103,103,30395,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66095&page=1,Kansas,66095,FALSE
104,104,104,104,30396,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66097&page=1,Kansas,66097,FALSE
105,105,105,105,30397,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66101&page=1,Kansas,66101,FALSE
106,106,106,106,30398,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66101&page=2,Kansas,66101,FALSE
107,107,107,107,30399,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66101&page=3,Kansas,66101,FALSE
108,108,108,108,30400,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66101&page=4,Kansas,66101,FALSE
109,109,109,109,30401,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66101&page=5,Kansas,66101,FALSE
110,110,110,110,30402,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66101&page=6,Kansas,66101,FALSE
111,111,111,111,30403,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66101&page=7,Kansas,66101,FALSE
112,112,112,112,30404,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66101&page=8,Kansas,66101,FALSE
113,113,113,113,30405,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66102&page=1,Kansas,66102,FALSE
114,114,114,114,30406,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66102&page=2,Kansas,66102,FALSE
115,115,115,115,30407,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66102&page=3,Kansas,66102,FALSE
116,116,116,116,30408,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66102&page=4,Kansas,66102,FALSE
117,117,117,117,30409,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66102&page=5,Kansas,66102,FALSE
118,118,118,118,30410,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66102&page=6,Kansas,66102,FALSE
119,119,119,119,30411,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66102&page=7,Kansas,66102,FALSE
120,120,120,120,30412,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66102&page=8,Kansas,66102,FALSE
121,121,121,121,30413,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66103&page=1,Kansas,66103,FALSE
122,122,122,122,30414,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66103&page=2,Kansas,66103,FALSE
123,123,123,123,30415,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66103&page=3,Kansas,66103,FALSE
124,124,124,124,30416,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66103&page=4,Kansas,66103,FALSE
125,125,125,125,30417,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66103&page=5,Kansas,66103,FALSE
126,126,126,126,30418,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66103&page=6,Kansas,66103,FALSE
127,127,127,127,30419,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66103&page=7,Kansas,66103,FALSE
128,128,128,128,30420,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66103&page=8,Kansas,66103,FALSE
129,129,129,129,30421,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66104&page=1,Kansas,66104,FALSE
130,130,130,130,30422,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66104&page=2,Kansas,66104,FALSE
131,131,131,131,30423,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66104&page=3,Kansas,66104,FALSE
132,132,132,132,30424,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66104&page=4,Kansas,66104,FALSE
133,133,133,133,30425,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66104&page=5,Kansas,66104,FALSE
134,134,134,134,30426,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66104&page=6,Kansas,66104,FALSE
135,135,135,135,30427,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66104&page=7,Kansas,66104,FALSE
136,136,136,136,30428,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66105&page=1,Kansas,66105,FALSE
137,137,137,137,30429,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66105&page=2,Kansas,66105,FALSE
138,138,138,138,30430,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66105&page=3,Kansas,66105,FALSE
139,139,139,139,30431,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66105&page=4,Kansas,66105,FALSE
140,140,140,140,30432,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66105&page=5,Kansas,66105,FALSE
141,141,141,141,30433,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66105&page=6,Kansas,66105,FALSE
142,142,142,142,30434,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66105&page=7,Kansas,66105,FALSE
143,143,143,143,30435,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66106&page=1,Kansas,66106,FALSE
144,144,144,144,30436,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66106&page=2,Kansas,66106,FALSE
145,145,145,145,30437,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66106&page=3,Kansas,66106,FALSE
146,146,146,146,30438,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66106&page=4,Kansas,66106,FALSE
147,147,147,147,30439,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66106&page=5,Kansas,66106,FALSE
148,148,148,148,30440,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66106&page=6,Kansas,66106,FALSE
149,149,149,149,30441,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66106&page=7,Kansas,66106,FALSE
150,150,150,150,30442,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66106&page=8,Kansas,66106,FALSE
151,151,151,151,30443,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66109&page=1,Kansas,66109,FALSE
152,152,152,152,30444,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66109&page=2,Kansas,66109,FALSE
153,153,153,153,30445,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66109&page=3,Kansas,66109,FALSE
154,154,154,154,30446,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66109&page=4,Kansas,66109,FALSE
155,155,155,155,30447,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66109&page=5,Kansas,66109,FALSE
156,156,156,156,30448,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66109&page=6,Kansas,66109,FALSE
157,157,157,157,30449,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66111&page=1,Kansas,66111,FALSE
158,158,158,158,30450,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66111&page=2,Kansas,66111,FALSE
159,159,159,159,30451,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66111&page=3,Kansas,66111,FALSE
160,160,160,160,30452,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66111&page=4,Kansas,66111,FALSE
161,161,161,161,30453,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66111&page=5,Kansas,66111,FALSE
162,162,162,162,30454,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66111&page=6,Kansas,66111,FALSE
163,163,163,163,30455,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66111&page=7,Kansas,66111,FALSE
164,164,164,164,30456,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66112&page=1,Kansas,66112,FALSE
165,165,165,165,30457,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66112&page=2,Kansas,66112,FALSE
166,166,166,166,30458,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66112&page=3,Kansas,66112,FALSE
167,167,167,167,30459,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66112&page=4,Kansas,66112,FALSE
168,168,168,168,30460,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66112&page=5,Kansas,66112,FALSE
169,169,169,169,30461,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66112&page=6,Kansas,66112,FALSE
170,170,170,170,30462,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66115&page=1,Kansas,66115,FALSE
171,171,171,171,30463,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66115&page=2,Kansas,66115,FALSE
172,172,172,172,30464,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66115&page=3,Kansas,66115,FALSE
173,173,173,173,30465,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66115&page=4,Kansas,66115,FALSE
174,174,174,174,30466,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66115&page=5,Kansas,66115,FALSE
175,175,175,175,30467,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66115&page=6,Kansas,66115,FALSE
176,176,176,176,30468,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66115&page=7,Kansas,66115,FALSE
177,177,177,177,30469,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66115&page=8,Kansas,66115,FALSE
178,178,178,178,30470,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66118&page=1,Kansas,66118,FALSE
179,179,179,179,30471,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66118&page=2,Kansas,66118,FALSE
180,180,180,180,30472,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66118&page=3,Kansas,66118,FALSE
181,181,181,181,30473,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66118&page=4,Kansas,66118,FALSE
182,182,182,182,30474,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66118&page=5,Kansas,66118,FALSE
183,183,183,183,30475,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66118&page=6,Kansas,66118,FALSE
184,184,184,184,30476,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66118&page=7,Kansas,66118,FALSE
185,185,185,185,30477,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66202&page=1,Kansas,66202,FALSE
186,186,186,186,30478,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66202&page=2,Kansas,66202,FALSE
187,187,187,187,30479,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66202&page=3,Kansas,66202,FALSE
188,188,188,188,30480,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66202&page=4,Kansas,66202,FALSE
189,189,189,189,30481,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66202&page=5,Kansas,66202,FALSE
190,190,190,190,30482,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66202&page=6,Kansas,66202,FALSE
191,191,191,191,30483,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66202&page=7,Kansas,66202,FALSE
192,192,192,192,30484,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66202&page=8,Kansas,66202,FALSE
193,193,193,193,30485,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66203&page=1,Kansas,66203,FALSE
194,194,194,194,30486,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66203&page=2,Kansas,66203,FALSE
195,195,195,195,30487,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66203&page=3,Kansas,66203,FALSE
196,196,196,196,30488,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66203&page=4,Kansas,66203,FALSE
197,197,197,197,30489,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66203&page=5,Kansas,66203,FALSE
198,198,198,198,30490,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66203&page=6,Kansas,66203,FALSE
199,199,199,199,30491,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66203&page=7,Kansas,66203,FALSE
200,200,200,200,30492,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66203&page=8,Kansas,66203,FALSE
201,201,201,201,30493,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66204&page=1,Kansas,66204,FALSE
202,202,202,202,30494,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66204&page=2,Kansas,66204,FALSE
203,203,203,203,30495,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66204&page=3,Kansas,66204,FALSE
204,204,204,204,30496,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66204&page=4,Kansas,66204,FALSE
205,205,205,205,30497,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66204&page=5,Kansas,66204,FALSE
206,206,206,206,30498,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66204&page=6,Kansas,66204,FALSE
207,207,207,207,30499,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66204&page=7,Kansas,66204,FALSE
208,208,208,208,30500,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66204&page=8,Kansas,66204,FALSE
209,209,209,209,30501,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66205&page=1,Kansas,66205,FALSE
210,210,210,210,30502,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66205&page=2,Kansas,66205,FALSE
211,211,211,211,30503,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66205&page=3,Kansas,66205,FALSE
212,212,212,212,30504,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66205&page=4,Kansas,66205,FALSE
213,213,213,213,30505,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66205&page=5,Kansas,66205,FALSE
214,214,214,214,30506,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66205&page=6,Kansas,66205,FALSE
215,215,215,215,30507,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66205&page=7,Kansas,66205,FALSE
216,216,216,216,30508,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66205&page=8,Kansas,66205,FALSE
217,217,217,217,30509,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66206&page=1,Kansas,66206,FALSE
218,218,218,218,30510,https://www.yellowpages.com/search?search_terms=autoglass&geo_location_terms=66206&page=2,Kansas,66206,FALSE
